,SPA,WAC,corpus,modelname,numTest,numTrain,testRole,trainRole
0,45.98540145985402,73.9622641509434,Biling_Perez_John_Utterance.csv,BigramLearner,137,1385,Adult,Adult
0,48.90510948905109,76.22641509433963,Biling_Perez_John_Utterance.csv,TrigramLearner,137,1385,Adult,Adult
0,54.74452554744526,78.30188679245283,Biling_Perez_John_Utterance.csv,AdjLearner,137,1385,Adult,Adult
0,56.934306569343065,75.84905660377359,Biling_Perez_John_Utterance.csv,ProminenceLearner,137,1385,Adult,Adult
0,70.07299270072993,84.15094339622641,Biling_Perez_John_Utterance.csv,AdjPromLearner,137,1385,Adult,Adult
0,19.912885188283266,34.7576878910641,Biling_Perez_John_Utterance.csv,ChanceLearner,1158,1522,Target_Child,Adult
0,20.03454231433506,31.589023611997447,Biling_Perez_John_Utterance.csv,BigramLearner,1158,1522,Target_Child,Adult
0,18.134715025906736,23.80344607530313,Biling_Perez_John_Utterance.csv,TrigramLearner,1158,1522,Target_Child,Adult
0,23.66148531951641,34.58838544990427,Biling_Perez_John_Utterance.csv,AdjLearner,1158,1522,Target_Child,Adult
0,12.089810017271157,29.036375239310786,Biling_Perez_John_Utterance.csv,ProminenceLearner,1158,1522,Target_Child,Adult
0,21.070811744386873,34.58838544990427,Biling_Perez_John_Utterance.csv,AdjPromLearner,1158,1522,Target_Child,Adult
0,13.614216660367838,30.973867975174034,Clinical-MOR_Rondal_Normal_Utterance.csv,ChanceLearner,1374,12151,Adult,Adult
0,38.93740902474527,64.46968160616508,Clinical-MOR_Rondal_Normal_Utterance.csv,BigramLearner,1374,12151,Adult,Adult
0,37.190684133915575,54.67450821334415,Clinical-MOR_Rondal_Normal_Utterance.csv,TrigramLearner,1374,12151,Adult,Adult
0,50.727802037845706,71.26343540863922,Clinical-MOR_Rondal_Normal_Utterance.csv,AdjLearner,1374,12151,Adult,Adult
0,42.43085880640466,62.72561346582843,Clinical-MOR_Rondal_Normal_Utterance.csv,ProminenceLearner,1374,12151,Adult,Adult
0,54.00291120815138,72.09490975461367,Clinical-MOR_Rondal_Normal_Utterance.csv,AdjPromLearner,1374,12151,Adult,Adult
0,29.25023394226426,39.45297421975435,Clinical-MOR_Rondal_Normal_Utterance.csv,ChanceLearner,5554,13525,Target_Child,Adult
0,50.95426719481455,63.233655274888555,Clinical-MOR_Rondal_Normal_Utterance.csv,BigramLearner,5554,13525,Target_Child,Adult
0,46.831112711559236,53.44539375928677,Clinical-MOR_Rondal_Normal_Utterance.csv,TrigramLearner,5554,13525,Target_Child,Adult
0,55.02340655383507,66.22399702823179,Clinical-MOR_Rondal_Normal_Utterance.csv,AdjLearner,5554,13525,Target_Child,Adult
0,52.322650342095784,65.32317979197623,Clinical-MOR_Rondal_Normal_Utterance.csv,ProminenceLearner,5554,13525,Target_Child,Adult
0,63.84587684551674,72.52043090638931,Clinical-MOR_Rondal_Normal_Utterance.csv,AdjPromLearner,5554,13525,Target_Child,Adult
0,15.69041604472323,33.17123378159556,Eng-NA_Morisset_UCLA_Utterance.csv,ChanceLearner,454,4159,Adult,Adult
0,40.52863436123348,63.165365507452094,Eng-NA_Morisset_UCLA_Utterance.csv,BigramLearner,454,4159,Adult,Adult
0,37.22466960352423,50.887154009936125,Eng-NA_Morisset_UCLA_Utterance.csv,TrigramLearner,454,4159,Adult,Adult
